character,scene,dialogue
fall16,name,Stardew Valley Fair
fall16,conditions,Town/900 1500
fall16,set-up,fallFest/-1000 -1000/farmer 12 54 1/changeToTemporaryMap Town-Fair/viewport -1000 -1000/loadActors Set-Up/advancedMove Vincent true -3 0 2 5000 3 0 2 5000/advancedMove Jas true 2 0 4 5000 -2 0 4 5000/advancedMove Marnie true -2 0 4 5000 2 0 2 5000/advancedMove Abigail true 4 6000 5 0 0 3 2 6000 0 -3 -5 0/advancedMove Robin true 0 1 1 5000 0 -2 3 5000 0 1 1 5000/animate Sebastian false true 200 16 16 16 16 16 16 16 16 16 16 16 16 17 18 19 20 21 21 21 21 20 22 22 23/addTemporaryActor BabyPig 32 32 65 68 2 false Animal/addTemporaryActor Pig 32 32 65 70 3 false Animal/addTemporaryActor White_Chicken 16 16 59 67 2 false Animal/addTemporaryActor Brown_Chicken 16 16 61 67 2 false Animal/addTemporaryActor White_Cow 32 32 59 72 0 false Animal/addTemporaryActor BabyWhite_Cow 32 32 61 72 1 false Animal/advancedMove BabyPig true 0 1 3 5000 0 -1 0 7000/advancedMove Pig true 3 5000 0 1 1 5000 0 -1 3 5000/advancedMove White_Chicken true 1 0 2 7000 -1 0 2 10000/animate Brown_Chicken false true 500 16 17/viewport 22 22 true unfreeze/globalFadeToClear/pause 2000/playerControl fair
fall16,Abigail_spouse,I beat all these games last year! 
fall16,Leah_spouse,"I learned all of Robin's techniques last year, but she's always one step ahead of me!"
fall16,Maru_spouse,mumph... This is my one chance to pig out on barbecue sandwiches.
fall16,Penny_spouse,I hope we win the grange display contest!
fall16,Haley_spouse,Did you remember to bring good stuff for our grange display? I hope we win this year.
fall16,Sebastian_spouse,"Hey, @. I'm just catching up with Sam. Go ahead and have some fun."
fall16,Sam_spouse,Sebastian's the same as always. Are you having fun at the festival?
fall16,Alex_spouse,I'm just catching up with some old friends... you go on and have a good time.
fall16,Harvey_spouse,I'll wait here until you're ready to go home...
fall16,Elliott_spouse,"The smokey aroma drew me here, yet 'twas the zesty sauce that truly sealed my fate...  "
fall16,Abigail,I already beat all the games... now what?
fall16,Robin,Woodworking is an ancient tradition that I'm very proud to be a part of. 
fall16,Demetrius,Robin really works hard on her carpentry stuff... she deserves a little recognition now and then.
fall16,Maru, mmm... this barbecue sauce is amazing. 
fall16,Sebastian,It's kinda hectic today... I'm just gonna hang out here for a while.
fall16,Pierre,"My store carries the very finest quality products in the whole valley. Please, inspect my grange display closely and see for yourself!"
fall16,Caroline,"Hey, best of luck to you if you enter! Pierre is very serious about his grange display. He's been setting aside the best-looking produce for weeks in preparation."
fall16,Linus,These animals never judge people by their looks. The same can't be said for humans.
fall16,Alex,I played the 'Strength' game too many times and now my arms feel like rubber.
fall16,George,Hmm... smoked turkey haunch? I guess this festival isn't all bad. 
fall16,Evelyn,"I wish Gus would include a vegetarian option. Some zucchini skewers, maybe?"
