character,scene,dialogue
AnimalShop,92/e 91/i 78/t 900 1700," Marnie ""Oh! You brought the cave carrot! Thank you so much, Mr. @. ^Oh! You brought the cave carrot! Thank you so much, Ms. @. Marnie ""This looks great... I almost want to eat it myself! ...almost. Marnie ""I hope it wasn't too much trouble... I really do appreciate it. dialogue Marnie ""Thanks again for helping me out. ...and my goats say 'thanks' too."""
AnimalShop,3910674/f Shane 1000," Marnie ""Shane? Marnie ""Oh dear... Marnie ""@... Can you do something? He's out cold. Shane ""buhhh... Shane ""Whaa..?! Marnie ""Shane! What's the matter with you? All you do anymore is mope around your room and drink beer! Shane ""... Shane ""You wouldn't understand... Marnie ""I'm worried... Marnie ""What's your plan? Don't you ever think about the future? Shane ""Plan? Shane ""Hopefully I won't be around long enough to need a 'plan'... Jas ""... ... Shane ""Jas... Shane ""I'm sorry... "
AnimalShop,3910974/f Shane 1700/e 3910975/p Shane," Marnie ""Hi Shane... you look unusually happy today. Shane ""You're right... I haven't felt this light since I was a kid. Marnie ""Let me guess... Gus had a clearance sale on canned beer? Shane ""Good one... Shane ""No, actually. I've been drinking sparkling water instead of beer... and I feel great! Shane ""You know, I sometimes forget that I really do have friends, people that care about me. And it's okay for me to rely on them... it doesn't make me weak. Marnie ""He looks sharp! Shane ""Hi Jas. I've got something for you. Jas ""Th... These are real bunny-jewel slippers!! Jas ""B... But these are so expensive! How did you afford them? Shane ""I've cut back on an expensive habit. I have a lot more spending money now! "
AnimalShop,3900074/f Shane 2000/e 2118991/p Shane," Jas ""Uncle Shane's in the barn. He said... Uh... He said to tell you he wants to show you something. Shane ""That should do it... Shane ""It's the perfect home for you hens... We'll have the best eggs in the whole valley! Fresh and healthy, with rich golden yolks. Not like those pale, sickly Joja eggs... Shane ""... ... ...You know, Charlie... I was thinking... A guy like me is always teetering on the edge of despair... know what I mean? ...But you and the other hens are going to keep me upright from now on... I know it. ... What's wrong... too much pressure? Shane ""Hey, @... so, what do you think? Shane ""My special blue hens... I've been raising them in secret for the last few months. Shane ""I... Well, I won't be living here forever, and I wanted to pass something on to Jas. I've been teaching her how to care for them. ...I want to feel like I'm not just a leech on the world. I want to contribute somehow, even in a small way like this. "
ArchaeologyHouse,1848481/f Elliott 2000/t 1300 1900/n elliottReading," Elliott ""@, you made it! I feel so relieved to be done with my book... it's like an elephant's been lifted off my shoulders. Elliott ""Well, I'd better get started with the reading... Wish me luck. Elliott ""Good afternoon, everyone. Emily ""Hi! Elliott ""Ever since I was a young boy, I've dreamt of becoming a writer. When the time came for me to leave home and start my own life, I moved here. I was drawn to the peaceful beauty of the valley, and hoped that days of quiet reflection in this idyllic atmosphere would fan the literary flames. Elliott ""After countless hours scribbling at my writing desk, I present to you my first novel: 'The Rise And Fall Of Planet Yazzo'... It's a sci-fi epic spanning thousands of years in an exotic planetary system. Elliott ""Chapter One. Commander Yutkin stepped through the golden archway as the airlock snapped shut behind him. Today was his first day on Planet Yazzo, and all 14 of the alliance delegates had been summoned to the Grand Spire... Elliott ""...And as the 7th moon descended beneath the horizon, the planet of Yazzo would begin its sinister transformation... an event for which Commander Yutkin was completely unprepared. Elliott ""Well, that concludes my reading. I'll be selling signed copies of the book by the front desk. Thanks for listening! Elliott ""Well, how was it? Elliott ""Thanks. You know, I got the idea for making a sci-fi book from you. Do you remember? That's why I've dedicated this book to you... "
ArchaeologyHouse,mysteryBook," Elliott ""After countless hours scribbling at my writing desk, I present to you my first book: 'Blue Tower'... It's a mystery novel set in a surreal, dystopian future. Elliott ""Chapter One. From the shadows emerged a man, radiating with enigmatic omniscience. 'Good Evening, Mr. Lu,' he said, the corners of his mouth quivering. Lu seemed astonished. 'How did you know my name?' Elliott ""Lu checked Jenu's pockets, then stood up and walked into the bedroom. He quickly found the small golden key that he was looking for and slipped it into his coat pocket. Elliott ""Well, that concludes my reading. I'll be selling signed copies of the book by the front desk. Thanks for listening! Elliott ""Well, how was it? Elliott ""Thanks. You know, I got the idea for making a mystery from you. Do you remember? That's why I've dedicated this book to you... "
ArchaeologyHouse,romanceBook," Elliott ""After countless hours scribbling at my writing desk, I present to you my first novel: 'Camellia Station'... It's a romance novel about a train stewardess who falls in love with a traveling architect... Elliott ""Chapter One. 'Your ticket, sir?' Ticket collector Gozman extended a gloved hand towards the young commuter. 'Ah, yes. I have it right here,' he replied, reaching into his coat pocket. Mortified, he discovered that the ticket was missing. Elliott ""...'Clara, there's something I must tell you,' he blurted as she turned to leave. Clara turned, slowly, and saw the look of desperation in Horatio's eye. At that moment Gozman burst into the compartment, red-faced. Elliott ""Well, that concludes my reading. I'll be selling signed copies of the book by the front desk. Thanks for listening! Elliott ""Well, how was it? Elliott ""Thanks. You know, I got the idea for writing a romance novel from you. Do you remember? That's why I've dedicated this book to you... "
ArchaeologyHouse,0/n somethingToDonate/l somethingWasDonated," Gunther ""Abysmal... Not a single piece in the entire collection. Gunther ""What's this? You found something? Let me see it! Gunther ""Remarkable! It's very old. I'd love to study this in greater detail... But it is yours. Gunther ""Hmmm... I've got a favor to ask you. Would you consider donating any new artifacts or minerals that you find? We could make a groundbreaking discovery together! Oh, and who knows... If you keep donating I might come across some interesting items to send your way. Gunther ""Think about it, will you? If you decide to donate, just bring the objects to the front desk. / "
Backwoods,6963327/f Abigail 3500/O Abigail/t 610 1700," Abigail "" ...! Abigail ""@...? Abigail ""@... are you okay? Abigail ""It looks like you're just scraped up a little... you had me worried! Abigail ""I... I've never taken a life before... #It's sad, but there was no other option.#Monsters don't deserve our sympathy!#It's a harsh world, kid.#Did you have to kill him?(break)speak Abigail ""Yeah... I did what I had to do. I guess the world's a pretty tough place. It was either you or him, right? ""(break)speak Abigail ""...Aren't they just trying to survive, like us? They may be our enemies, but I still think they deserve sympathy. Still... I did what had to be done. ""(break)speak Abigail ""Huh? That's pretty funny coming from someone who just got rescued... But... yeah... Sometimes reality forces us to do things we'd rather not... Guess I'm learning that the hard way. ""(break)speak Abigail ""Hey! I saved your life, didn't I? Maybe you should think about that instead of putting me on a guilt trip. Abigail ""Look... You've gotta be more careful from now on. I don't want to lose you. Abigail ""Let's put him to rest nearby... okay? dialogue Abigail ""Good thing I brought my sword today! """
BathHouse_Pool,38/f Penny 2500/t 1900 2400/n pennySpa," Penny ""There you are... I was worried you didn't get my note. Penny ""It looks like we're alone. Penny ""The water feels so good after being out in the cold of night, doesn't it? Penny "" -1 null#Do you know why I asked you here tonight? # -1 0 event_pool1#You have something to tell me.# -1 0 event_pool2#I'm not exactly sure.# -1 0 event_pool3#You wanted to see me in my bathing suit. Penny ""Um, how do I say this... Penny ""I've been meaning to tell you for a while now... about how I feel. I can't stop thinking about you... I've never felt this way about anyone. Penny "" -1 null#... # -1 0 event_pool4#I feel the same way about you.# -1 -1500 event_pool5#Sorry, but I don't like you in that way... warpOut"
