character,scene,dialogue
Abigail,4,"Oh, hi."
Abigail,Introduction,"It's kind of a shame, really. I always enjoyed exploring those overgrown fields by myself.$9$eOh, that's right... I heard someone new was moving onto that old farm."
Abigail,Resort_Entering,I hope a mermaid visits the beach.
Abigail,Resort_Leaving,I'm gonna ask Willy if we can take the scenic route back.
Abigail,Resort_Leaving_2,Maybe we'll see a sea monster on the way back.
Abigail,Resort_Shore,"The beach is okay, but it gets boring pretty quick. I'd rather check out that dark jungle, or the volcano!"
Abigail,Resort_Shore_2,"Nah, David's probably not much of a swimmer anyways.$h$eHmm, you think I could sneak my guinea pig onto the island?"
Abigail,Resort_Umbrella,I like it in the shade. Too much sun makes me dizzy.$eMy skin gets burnt really easily. So I'm just gonna stay under this umbrella for a while.
Abigail,Resort_Umbrella_2,"Actually, a sand dungeon might be cooler!$h$eHey @, want to build a sand castle with me?"
Abigail,Resort_Umbrella_3,"I saw a few cool islands on the way here I want to visit.$eHey @, you think you could build a raft?"
Abigail,Resort_Wander,"Relax, I'm just kidding.$h$eQuick, get me a shovel!$eAn island this big has got to be hiding some buried treasure."
Abigail,Resort_Bar,"Gus made me a dark purple refresher, to match my hair. It tastes great!$h"
Abigail,Resort,And I brought my sword and everything...$s$bBummer... Willy says we have to stay on the beach...$s
Abigail,danceRejection,That's flattering... but I'm gonna have to say no. Sorry.
Abigail,divorced,What are you doing here? Just leave me alone!$a
Abigail,dumped_Girls,Don't talk to me!$a
Abigail,secondChance_Girls,"*sigh*... I can't stay mad at you anymore, @. Let's just move on with our lives.$s"
Abigail,breakUp,I guess we weren't really a good match...$s$bOh... I... I understand. You see me as just a friend...$s
Abigail,Mon,"Oh, hey. Taking a break from work?"
Abigail,Mon2,"Do you ever hang out at the cemetery? It's a peaceful place to spend some time alone.$eOh, hi!"
Abigail,Tue,I said I'm not in a good mood... what do you want?$a$eUgh... I'm not in a good mood right now.$s
Abigail,Tue2,"I know my parents mean well, but sometimes they just cannot understand my point of view. Weren't they ever young?$e...*sigh*...$s"
Abigail,Wed,What do you want?$eHey. Sorry in advance if I say anything rude. I didn't get much sleep last night.
Abigail,Thu,"I don't feel like doing anything today...$u$eOh no, I think my Dad's going to cook dinner tonight...$s$1 Abigail1"
Abigail,Fri,"Sometimes I totally lose track of time.$eWow, I just realized it's Friday. $u"
Abigail,Fri2,"We're all going to hang out in the saloon this evening. It's kind of like a friday tradition, I guess."
Abigail,Sat,I wonder if the frogs will make an appearance soon.$eThe fresh mountain air is nice on a day like this.$h
Abigail,Sun,Oh man... I've been pushing off my homework all weekend. Looks like I'll be pulling another all-nighter...$s
Abigail,Sun2,"Nothing. We just cease to exist.$r 17 30 Sun_nothingOur energy bodies enter the astral plane.$r 18 0 Sun_17We go to Heaven.$r 17 0 Sun_17We come back as spooky ghosts.$r 18 40 Sun_18I have no idea.$r 17 0 Sun_17@, What do you think happens to us after we die?$q 17/18 Sun_oldI wonder what would happen if I spent all night in the graveyard?"
Abigail,Sun_old,"I guess you think nothing would happen, right?$u|Maybe a wicked ghost would appear!$p 17"
Abigail,Sun_17,"Hmm, interesting..."
Abigail,Sun_18,Well that's an interesting theory!$h
Abigail,Sun_nothing,"You know, that wouldn't be so bad.$8"
