character,scene,dialogue
Caroline,Introduction,"Hello! You must be @, the new farmer. I'm Caroline. My husband runs the general store here. And have you met my daughter, Abigail? She's the pale one with the purple hair."
Caroline,Resort_Entering,Willy gave us each a piece of his fish jerky. I'm still chewing on it.
Caroline,Resort_Leaving,I'll sleep well tonight! 
Caroline,Resort_Shore,The water is so warm here compared to the valley. It's really pleasant!
Caroline,Resort_Chair, is trying to nap.
Caroline,Resort_Bar,"I told Gus to surprise me, and he made an iced green tea with mango zest. How nice! "
Caroline,Resort,"Hi @. Are you here to relax, or to do work?"
Caroline,Mon,I wish Abby wouldn't spend so much time in her room.
Caroline,Mon_inlaw_Abigail,"Hi, @. Are you enjoying the married life? I hope so!"
Caroline,Mon8,"# Caroline23#When we first moved to Pelican Town I would take secret walks to the Wizard's tower. Don't tell Pierre, he has jealousy issues. Abigail was born about a year after we moved to Pelican Town. I wonder if she'll ever experience life outside the valley?"
Caroline,Tue,I've seen wild horesradish in the forest. Foraging can be a fun way to earn some cash. Or you can use what you find as gifts or food.
Caroline,Wed,"Hi there. Do you have everything you need for the farm? If not, we might be able to help you out. We carry a variety of useful items."
Caroline,Thu,# Caroline1#Hmmm... I wonder if I can get Pierre to cook dinner tonight. Hmmm... what am I going to make for dinner tonight? Maybe I'll just get take-out from the Saloon.
Caroline,Fri,"It's a fine-looking day. On days like this I like to help Evelyn with the public gardens. She's strong for her age, but I think she appreciates all the help she can get."
Caroline,Sat,"Is it just me, or does Abigail have an unhealthy interest in doom and gloom? Maybe I'm just too old to understand."
Caroline,Sat_inlaw_Abigail,"Dinner's been a lot quieter since Abigail moved out... No, not because she used to chew with her mouth open! "
Caroline,Sat2,Abby's always had a strange interest in the occult. I'm not sure where she gets it from...
Caroline,Sat4,Abby's always had a strange interest in the occult. I'm not sure where she gets it from...
Caroline,Sat6,"# Caroline12#When we first moved here, I took a while to settle down... I wasn't ready for the domestic life. Pierre's a bit traditional... but he's a good man. He's ambitious, but he always puts his family first."
Caroline,Sun,Today I'm just going to relax and think positively. Do you ever take a day off?
Caroline,Wed6,"Stardew Valley is nice, but I wish I knew more people. I'm glad that we've become friends."
Caroline,summer_Mon,On wednesdays the shop is closed. Keep that in mind if you're going to need anything.
Caroline,summer_Tue,I've been seeing wild fruits in the forest lately. Foraging can be a fun way to earn some cash. Or you can use what you find as gifts or food.
Caroline,summer_Wed,"Hi there. Do you have everything you need for the farm? If not, we might be able to help you out. We carry a variety of useful items."
Caroline,summer_Sat,"Is it just me, or does Abigail look a little pale? Maybe I'm just worrying about her too much."
Caroline,summer_Sat_inlaw_Abigail,How's Abigail's health? She's always been such a pale girl. Hopefully the farm lifestyle puts a little color in her cheeks.
Caroline,summer_Sun,Today I'm just going to relax and think positively. Do you ever take a day off?
Caroline,summer_Wed6,Time seems to go by faster and faster the older you get... 
Caroline,fall_Mon,"Fall is Abby's favorite season, so I'm hoping she'll come out of her room more often."
Caroline,fall_Mon_inlaw_Abigail,"Abby was taking online classes here, but I don't think her heart was really in it... She's a free spirit, like I was before I met Pierre. She's probably having the time of her life on your farm."
Caroline,fall_Tue,I've seen edible mushrooms in the forest. Foraging can be a fun way to earn some cash. Or you can use what you find as gifts or food.
Caroline,fall_Sat,"Is it just me, or does Abigail play too many video games? Maybe I'm a little old-fashioned."
Caroline,fall_Wed6,"You know, I used to want to be a farmer myself. Well, more like a rancher. I always loved movies about the wild west when I was a girl."
Caroline,winter_Tue,"Winter is harsh, but you can dig up some roots if you're lucky. Foraging can be a fun way to earn some cash. Or you can use what you find as gifts or food."
Caroline,winter_Fri,"Even though it's cold, I still check on the public garden beds every now and then. I just want to make sure they aren't damaged too much before spring returns."
Caroline,winter_Sat,Don't you think Abby would look better with her natural hair color? She used to have light chestnut-colored hair.
Caroline,winter_Wed6,Are you excited for the new year? I predict that you'll be super-successful on your farm. 
Clint,Introduction,"Er... hi. I'm Clint. I'm the town blacksmith. If you ever need to upgrade your tools, I'm your guy."
Clint,Resort_Entering,I'm gonna put on my special red trunks. They're supposed to be really eye-catching.
Clint,Resort_Leaving,"Well, that didn't turn out like I was imagining..."
Clint,Resort_Shore,Oh no... I forgot to clip my toenails. 
Clint,Resort_Shore_2,"I thought working a furnace would have prepared me for this heat, but I'm sweating in places I didn't know I could. I hope no one noticed... 's body is glistening..."
Clint,Resort_Chair,Ow... my whole torso is burnt to a crisp. 
Clint,Resort_Bar,I'm hungry... 
Clint,Resort, ... We're all at the beach but I still feel so alone... 
Clint,reject_868,"Hmm... That's an interesting stone, like nothing I've ever seen before. I wouldn't know what to do with it, though. I deal in the mundane, not the magical..."
Clint,cc_Minecart,"Somehow, the old town minecart system started working again. It's very convenient for getting to and from the mines. Don't get too cozy, though... if it can start up so suddenly, it could just as well shut down..."
Clint,Mon,Yep. I'm a blacksmith. My father was also a blacksmith. My grandfather was a blacksmith as well. # Mon_old#I bet you can't guess what my great-grandfather was...# 9 30 Mon_9#A blacksmith.# 9 50 Mon_clown#A silly clown.# 9 -50 Mon_rude#A sarcastic jerk.
Clint,Mon_old,"And yes, my great-grandfather was also a blacksmith."
Clint,Mon_9,How'd you know? 
Clint,Mon_clown,Hahahaha. Good one. 
Clint,Mon_rude,Wow. That was rude. I was just being funny and you took it to a whole new level.
Clint,Mon4,"Be glad you're a farmer, @. It's nicer to work outdoors than by a hot furnace all day. I'm only a blacksmith because my father pushed me into it."
Clint,Tue,"If you want me to upgrade your tools you'll have to give me the correct ore. And you'll have to pay me a fee, of course."
Clint,Wed,Hey. What do you need?
Clint,Wed6,"Oh, hi @. Sorry If I look a little messy. I've been working at the furnace all morning. So, did you need anything, or do you just want to visit?"
Clint,Thu,Business has been slow lately. You should upgrade your tools. I could use the cash.
