character,scene,dialogue
EngagementDialogue,Maru0,I'm going to be your wife. Hehe.  I'm really excited. 
EngagementDialogue,Maru1,I need to get mentally prepared for being a farmer's wife.
EngagementDialogue,Leah0,I'm a little nervous. But happy.  ... 
EngagementDialogue,Leah1,I'm going to be so happy. I've always dreamed of living on a farm. 
EngagementDialogue,Haley0,It's just like I always dreamed.  I'm so happy! 
EngagementDialogue,Haley1,"I'm a farmer now, too! It's okay. I know we can't have a honeymoon, since your farm needs to be taken care of."
EngagementDialogue,Penny0,"Don't worry, I'm really happy, too.  @.. I'm a little scared. This is such a big change!"
EngagementDialogue,Penny1,"I'm so glad you feel this way about me.  We're going to have a little farm family, soon. "
EngagementDialogue,Abigail0,We're going to have a lot of fun together.  Hehe. Me? Married? I never thought this would happen. 
EngagementDialogue,Abigail1,Our lives are going to be a lot different from now on.  I'm engaged to a farmer. Wow! 
EngagementDialogue,Sam0,"I'm excited. I'm going to be really happy as your husband, @. "
EngagementDialogue,Sam1,I can't wait till the wedding.  I never dreamed this would happen. I'm so lucky. 
EngagementDialogue,Sebastian0,"I'm happy, though.  In a couple days I'm going to be living on a farm. I can't believe it. "
EngagementDialogue,Sebastian1,"Life is strange, huh?  When you showed up in town, I never thought I'd be marrying you some day. "
EngagementDialogue,Harvey0,I'll be relieved after we're all settled in on your farm.  Oh my goodness! I have so much to prepare before the wedding! I'm nervous. 
EngagementDialogue,Harvey1,This was always my secret wish.  I'm really happy. 
EngagementDialogue,Elliott0,We're going to make a great pair.  The farm will be such a lovely place to write. I'm really looking forward to this. 
EngagementDialogue,Elliott1,We can use my cottage as a beach house.  This is going to be such an adventure! I'm really excited. Aren't you? 
EngagementDialogue,Alex0,"I can't wait.  @, this is the greatest thing that could have happened. "
EngagementDialogue,Alex1,I'm going to love being a farmer. 
EngagementDialogue,Shane0,I can't believe you'd actually want to marry someone like me. Part of me is wondering if this isn't all some elaborate prank.
EngagementDialogue,Shane1,"@... My head's spinning, and I haven't even had a beer today."
EngagementDialogue,Emily0,It's... exciting. Can you believe we're about to move in together? I've never lived with anyone but my family.
EngagementDialogue,Emily1,The parrot is excited too. I always knew something important would happen between us... I just never thought it would be this! 
EngagementDialogue,Krobus0,@... I'm afraid we'll have to keep this a secret... Neither my people nor yours would accept us living together.
EngagementDialogue,Krobus1,"You know I'll be a very strange person to live with, right? I won't be able to leave the house..."
